skuid,descr,datedue,dateordered,qtyprinted,qtyordered,priority,notes,imps,printstack
HWS,NULL,"2016-05-04 00:00:00","2016-05-04 00:00:00",100,100,999,"Adjustment only. 100 ordered on 3/23/16. 200 were printed on 5/4/16 but recorded as 100 printed. Possible glitch on Android. PB",94,50
SW2,"Low Stock","2016-05-10 00:00:00","2016-05-06 00:00:00",725,700,24,,240,25
"TLC ","Low Stock","2016-05-10 00:00:00","2016-05-06 00:00:00",75,75,25,,121,22
BSS,"Low Stock","2016-05-10 00:00:00","2016-05-06 00:00:00",40,40,40,"Take to Shipping Room.",317,15
SWP-P2-BL,"Low Stock","2016-05-10 00:00:00","2016-05-06 00:00:00",30,30,55,,299,10
EIL-5,"Low Stock","2016-05-10 00:00:00","2016-05-06 00:00:00",50,50,60,,165,35
EIL-4,"Low Stock","2016-05-10 00:00:00","2016-05-06 00:00:00",50,50,65,,166,35
AUH-S,"Low Stock","2016-05-11 00:00:00","2016-05-06 00:00:00",150,150,70,,348,15
FN1-S,Stock,"2016-05-11 00:00:00","2016-05-06 00:00:00",50,50,75,,254,22
FMF-TB,Stock,"2016-05-11 00:00:00","2016-05-06 00:00:00",50,50,80,,273,20
SW2,Stock,"2016-05-20 00:00:00","2016-05-06 00:00:00",1000,1000,6,,240,25
"SW2 Tabs",Stock,"2016-06-03 00:00:00","2016-05-06 00:00:00",2300,2300,7,"June and July Sales",12,104
AUH-T,Stock,"2016-05-20 00:00:00","2016-05-06 00:00:00",75,75,10,,317,18
BBW,Stock,"2016-05-12 00:00:00","2016-05-06 00:00:00",100,100,88,,132,40
ACS-B,Stock,"2016-05-20 00:00:00","2016-05-06 00:00:00",50,50,25,,164,30
FIX-1,Stock,"2016-05-13 00:00:00","2016-05-06 00:00:00",300,300,115,,230,25
LTL-S,Stock,"2016-05-20 00:00:00","2016-05-06 00:00:00",50,50,15,,87,50
LTL-T,Stock,"2016-05-20 00:00:00","2016-05-06 00:00:00",50,50,20,,97,30
MHW-T,"Low Stock","2016-05-09 00:00:00","2016-05-09 00:00:00",100,100,18,,285,20
LTW-SW1,Palletize,"2016-05-11 00:00:00","2016-05-09 00:00:00",315,300,5,"Order #374276",154,35
LTW-TG1,Palletize,"2016-05-11 00:00:00","2016-05-09 00:00:00",100,100,5,"Order #374276",362,15
"LTW-SW2 (old)",Palletize,"2016-05-11 00:00:00","2016-05-09 00:00:00",80,75,5,"Order #374276",136,50
"LTW-TG2 (old)",Palletize,"2016-05-11 00:00:00","2016-05-09 00:00:00",75,75,5,"Order #374276",219,25
"SWI - Quick Start","Low Stock","2016-05-13 00:00:00","2016-05-13 00:00:00",2000,2000,2,,1,500
SME-L4,"WTS - ASAP","2016-05-17 00:00:00","2016-05-17 00:00:00",20,20,1,,60,20
FIX-2,NULL,"2016-05-18 00:00:00","2016-05-06 00:00:00",100,100,120,,258,22
FN1-T,Stock,"2016-05-20 00:00:00","2016-05-18 00:00:00",100,100,30,,254,20
FN1-S,Stock,"2016-05-20 00:00:00","2016-05-18 00:00:00",100,100,35,,254,22
WTW-T,Stock,"2016-05-20 00:00:00","2016-05-18 00:00:00",75,75,40,,139,30
"TLC ",Stock,"2016-05-20 00:00:00","2016-05-18 00:00:00",50,50,45,,121,22
FIX-6,Stock,"2016-05-20 00:00:00","2016-05-18 00:00:00",50,50,50,,268,22
WVD-B,Stock,"2016-05-20 00:00:00","2016-05-18 00:00:00",50,50,55,,73,80
LDP-SB,Stock,"2016-05-20 00:00:00","2016-05-18 00:00:00",50,50,60,,176,34
TCW,Stock,"2016-05-20 00:00:00","2016-05-18 00:00:00",200,200,65,,101,60
FIX-3-SB,Stock,"2016-05-20 00:00:00","2016-05-18 00:00:00",200,200,70,,130,40
"AHW-S (old)",Stock,"2016-05-31 00:00:00","2016-05-18 00:00:00",260,250,75,,300,18
BFG-B,Stock,"2016-05-31 00:00:00","2016-05-18 00:00:00",100,100,80,,84,70
FIX-3,Stock,"2016-05-31 00:00:00","2016-05-18 00:00:00",342,342,85,"Shelves and existing pallet.",262,22
FIX-2-SB,Stock,"2016-05-31 00:00:00","2016-05-18 00:00:00",500,500,90,"Shelves and existing pallet.",130,35
FMF-S,Stock,"2016-05-31 00:00:00","2016-05-18 00:00:00",500,500,100,"Shelves and existing pallet.",280,20
SRN-B,Stock,"2016-05-31 00:00:00","2016-05-18 00:00:00",850,850,105,"Shelves and existing pallet.",126,35
BH-S,Stock,"2016-05-31 00:00:00","2016-05-18 00:00:00",800,800,110,"Shelves and existing pallet.",224,18
TEE-S,Stock,"2016-05-31 00:00:00","2016-05-18 00:00:00",726,726,115,"Shelves and existing pallet.",148,35
FIX-2,Stock,"2016-05-31 00:00:00","2016-05-18 00:00:00",400,400,120,"Shelves and existing pallet.",258,22
AFF-S,Stock,"2016-05-31 00:00:00","2016-05-18 00:00:00",1000,1000,125,"Shelves and existing pallet.",169,30
SIMP-A,Stock,"2016-05-31 00:00:00","2016-05-18 00:00:00",1200,1200,130,"Shelves and existing pallet.",113,45
FIX-1,Stock,"2016-05-31 00:00:00","2016-05-18 00:00:00",750,750,135,"Shelves and existing pallet.",230,25
FIX-1-SB,Stock,"2016-05-31 00:00:00","2016-05-18 00:00:00",1210,1200,140,"Shelves and existing pallet.",128,40
CS-A,"Low Stock","2016-05-20 00:00:00","2016-05-19 00:00:00",30,30,4,,345,15
MHW-T,"CC Order #00133752 + Stock","2016-05-26 00:00:00","2016-05-24 00:00:00",350,350,1,,285,20
MHW-S,"CC Order #00133752 + Stock","2016-05-26 00:00:00","2016-05-24 00:00:00",400,400,1,,312,17
PAL-WSB,"WTS - ASAP","2016-05-25 00:00:00","2016-05-25 00:00:00",12,12,1,,274,20
CS-A-RC,"WTS - ASAP","2016-05-26 00:00:00","2016-05-26 00:00:00",20,20,1,,345,10
CS-B-RC,"WTS - ASAP","2016-05-26 00:00:00","2016-05-26 00:00:00",20,20,1,,338,17
PAL-WSB,"Low Stock","2016-05-26 00:00:00","2016-05-26 00:00:00",50,50,2,,274,20
"SIM Tabs","Low Stock","2016-05-27 00:00:00","2016-05-26 00:00:00",1000,1000,3,,5,250
LDP-T,"Low Stock","2016-05-31 00:00:00","2016-05-27 00:00:00",300,300,4,,206,25
DTE-H,WTS,"2016-06-06 00:00:00","2016-05-27 00:00:00",50,50,1,"Order 375387 - Deliver to shipping.",3,100
MHW-T,WTS,"2016-06-02 00:00:00","2016-05-31 00:00:00",460,460,6,"CC Order 377134",285,20
"SWI - Quick Start","Low Stock","2016-05-31 00:00:00","2016-05-31 00:00:00",5000,5000,1,"Waiting to collate.",1,500
SW2,Stock,"2016-06-03 00:00:00","2016-05-31 00:00:00",1300,1300,8,"July Sales",240,25
LTW-SW1,WTS,"2016-06-03 00:00:00","2016-06-01 00:00:00",150,150,2,"Order 377265",154,35
LTW-TG1,WTS,"2016-06-03 00:00:00","2016-06-01 00:00:00",50,50,3,"Order 377265",362,15
CS-PK-RC,WTS,"2016-06-03 00:00:00","2016-06-02 00:00:00",20,20,3,,311,20
CS-P1-RC,WTS,"2016-06-03 00:00:00","2016-06-02 00:00:00",20,20,4,,329,20
CS-P2-RC,WTS,"2016-06-03 00:00:00","2016-06-02 00:00:00",20,20,5,,327,20
SICC-A-TB,"Low Stock","2016-06-03 00:00:00","2016-06-02 00:00:00",50,50,11,,156,30
SICC-B-TB,"Low Stock","2016-06-03 00:00:00","2016-06-02 00:00:00",50,50,12,,168,30
SICC-C-TB,"Low Stock","2016-06-03 00:00:00","2016-06-02 00:00:00",25,25,13,,174,30
"EIS-TB e2p1",Stock,"2016-06-10 00:00:00","2016-06-02 00:00:00",500,500,145,"Yields 1000 books.",138,35
GPP,"3rd Party Book","2016-07-05 00:00:00","2016-06-02 00:00:00",120,120,1000,,1,1
TWE,"3rd Party Book","2016-07-05 00:00:00","2016-06-02 00:00:00",160,160,1000,,1,1
RRW-H_v2,NULL,"2016-06-10 00:00:00","2016-06-06 00:00:00",100,100,15,"Order 375946 - Will Call 6/13/16. Deliver to Shipping.",3,150
FBS-A-E,"See notes.","2016-06-10 00:00:00","2016-06-07 00:00:00",10,1,1,"Order #377703. 3 hole punch instead of spiral. Blank back cover. Resealable bag. Take to shipping.",59,10
FBS-B-E,"See notes.","2016-06-10 00:00:00","2016-06-07 00:00:00",1,1,1,"Order #377703. 3 hole punch instead of spiral. Blank back cover. Resealable bag. Take to shipping.",50,10
FBS-C-E,"See notes.","2016-06-10 00:00:00","2016-06-07 00:00:00",1,1,1,"Order #377703. 3 hole punch instead of spiral. Blank back cover. Resealable bag. Take to shipping.",54,10
FIX-1-SB,Stock,"2016-06-10 00:00:00","2016-06-07 00:00:00",400,400,5,,128,40
FMF-S,Stock,"2016-06-20 00:00:00","2016-06-07 00:00:00",700,700,4,,280,20
FIX-2,Stock,"2016-06-14 00:00:00","2016-06-07 00:00:00",399,399,7,,258,22
MHW-S,"Low Stock","2016-06-10 00:00:00","2016-06-07 00:00:00",1100,1100,4,Palletize,312,17
MHW-T,"Low Stock","2016-06-10 00:00:00","2016-06-07 00:00:00",825,800,3,Palletize,285,20
EIL-1,WTS,"2016-06-08 00:00:00","2016-06-08 00:00:00",200,200,2,"Order 378438",156,25
EIL-2,WTS,"2016-06-08 00:00:00","2016-06-08 00:00:00",100,100,2,"Order 378438",158,35
SWP-P2-P,WTS,"2016-06-10 00:00:00","2016-06-08 00:00:00",175,175,3," Order 378451",300,10
SWP-P1-P,WTS,"2016-06-10 00:00:00","2016-06-08 00:00:00",175,175,3,"Order 378451",223,12
FN1-S,WTS,"2016-06-08 00:00:00","2016-06-08 00:00:00",150,150,2,"Order 378490 plus open stock",254,22
"TLC ",WTS,"2016-06-08 00:00:00","2016-06-08 00:00:00",100,100,2,"24 for Gail and the rest for open stock.",121,22
SWP-A-BL,"Low Stock","2016-06-10 00:00:00","2016-06-09 00:00:00",100,100,4,,194,30
"SIM Tabs",Stock,"2016-06-21 00:00:00","2016-06-09 00:00:00",3080,3080,6,"June/July Sales",5,250
AUH-S,WTS,"2016-06-10 00:00:00","2016-06-09 00:00:00",100,100,2,"Order plus open stock.",348,15
"SW2 Tabs",Stock,"2016-06-21 00:00:00","2016-06-13 00:00:00",1040,1000,23,"August Sales",12,104
SW2,Stock,"2016-06-21 00:00:00","2016-06-13 00:00:00",1300,1300,4,"August Sales",240,25
CS-P2,"Low Stock","2016-06-15 00:00:00","2016-06-14 00:00:00",30,30,3,,327,18
DDD-B,"Low Stock","2016-06-15 00:00:00","2016-06-14 00:00:00",75,75,4,,120,50
AFF-TB,"Low Stock","2016-06-15 00:00:00","2016-06-14 00:00:00",75,75,5,,82,30
FN1-S,"Low Stock","2016-06-16 00:00:00","2016-06-14 00:00:00",200,200,6,"Open Stock",254,22
WTW-T,"Low Stock","2016-06-17 00:00:00","2016-06-15 00:00:00",120,100,5,,139,30
FN1-T,"Low Stock","2016-06-16 00:00:00","2016-06-16 00:00:00",100,100,2,,254,20
BBW,"Low Stock","2016-06-20 00:00:00","2016-06-16 00:00:00",100,100,3,,132,40
AUH-T,"Low Stock","2016-06-17 00:00:00","2016-06-16 00:00:00",90,90,3,,317,18
LDP-SB,"Low Stock","2016-06-20 00:00:00","2016-06-16 00:00:00",50,50,5,,176,34
BH-TB,"Low Stock","2016-06-17 00:00:00","2016-06-16 00:00:00",75,75,2,,124,50
AUH-S,WTS,"2016-06-20 00:00:00","2016-06-16 00:00:00",150,150,2,"CBD order and open stock.",348,15
SWP-ABC-B-TABS,"Low Stock","2016-06-21 00:00:00","2016-06-16 00:00:00",125,125,22,,10,125
RRW-H_v2,WTS,"2016-06-24 00:00:00","2016-06-17 00:00:00",100,100,20,"Order 377759 - Deliver to Shipping. Will Be Picked Up On June 27.",3,150
FN1-S,"Stock - Palletize","2016-06-29 00:00:00","2016-06-17 00:00:00",1248,1248,12,,254,22
PAL-RT,"Low Stock","2016-06-22 00:00:00","2016-06-20 00:00:00",400,400,10,,169,20
BFG-B,Stock,"2016-06-30 00:00:00","2016-06-20 00:00:00",80,80,25,,84,70
EBW,Stock,"2016-06-30 00:00:00","2016-06-20 00:00:00",50,50,30,,130,35
EIL-5,Stock,"2016-06-30 00:00:00","2016-06-20 00:00:00",60,50,35,,165,35
GWN,Stock,"2016-06-30 00:00:00","2016-06-20 00:00:00",60,60,40,,149,40
"TLC ","Low Stock","2016-06-24 00:00:00","2016-06-20 00:00:00",100,100,2,,121,22
SIMP-A,Stock,"2016-07-08 00:00:00","2016-06-20 00:00:00",500,500,60,,113,45
PW-HSEP-IL,"WTS - ASAP","2016-06-21 00:00:00","2016-06-21 00:00:00",100,100,1,"Print on Letterhead Paper",1,100
"LTW-SW2 (old)",WTS,"2016-06-23 00:00:00","2016-06-22 00:00:00",95,95,2,"CiRCE #380969",136,50
"LTW-TG2 (old)",WTS,"2016-06-23 00:00:00","2016-06-22 00:00:00",47,47,2,"CiRCE #380969",219,25
LTW-SW1,,"2016-07-08 00:00:00","2016-06-22 00:00:00",175,175,50,,154,35
PLS-BL,"WTS - ASAP","2016-07-05 00:00:00","2016-06-28 00:00:00",40,40,4,,245,25
PAL-WSB,"Low Stock","2016-07-01 00:00:00","2016-06-28 00:00:00",50,50,14,,274,20
GAM-B,"Low Stock","2016-07-01 00:00:00","2016-06-28 00:00:00",30,30,16,,121,20
AUH-S,"Low Stock","2016-07-01 00:00:00","2016-06-28 00:00:00",50,50,18,,348,15
WTW-T,Stock,"2016-07-08 00:00:00","2016-06-28 00:00:00",100,100,20,,139,30
AFF-TB,Stock,"2016-07-08 00:00:00","2016-06-28 00:00:00",50,50,22,,82,30
RBW,Stock,"2016-07-08 00:00:00","2016-06-28 00:00:00",50,50,27,,133,40
LTL-T,Stock,"2016-07-08 00:00:00","2016-06-28 00:00:00",75,75,26,,97,30
LTL-S,Stock,"2016-07-08 00:00:00","2016-06-28 00:00:00",100,100,28,,87,50
EIL-4,Stock,"2016-07-08 00:00:00","2016-06-28 00:00:00",100,100,30,,166,35
EIL-3,Stock,"2016-07-08 00:00:00","2016-06-28 00:00:00",100,100,32,,168,35
PAL-RG,Stock,"2016-07-08 00:00:00","2016-06-28 00:00:00",100,100,34,,198,17
FIX-5,"Low Stock","2016-07-25 00:00:00","2016-06-28 00:00:00",200,200,15,,266,22
FIX-6,Stock,"2016-07-08 00:00:00","2016-06-28 00:00:00",100,100,38,,268,22
FIX-1,"Stock - Palletize","2016-07-08 00:00:00","2016-06-28 00:00:00",600,600,40,,230,25
MHW-S,"Stock - Palletize","2016-07-08 00:00:00","2016-06-30 00:00:00",1500,1500,25,,312,17
RRW-H_v2,"WTS - ASAP","2016-07-07 00:00:00","2016-07-01 00:00:00",75,75,1,"Order 380864 - Ship date: 7/8/16 - Deliver to shipping.",3,150
CS-A,WTS,"2016-07-05 00:00:00","2016-07-01 00:00:00",30,30,5,,345,15
CS-B,WTS,"2016-07-05 00:00:00","2016-07-01 00:00:00",30,30,5,,338,10
FBS-B-E,WTS,"2016-07-06 00:00:00","2016-07-05 00:00:00",10,10,4,"3 hole punch instead of spiral. Blank back cover. Resealable bag. ",50,10
"CS-ABC Tabs",WTS,"2016-07-27 00:00:00","2016-07-07 00:00:00",508,500,23,,5,250
FMF-S,WTS,"2016-08-01 00:00:00","2016-07-07 00:00:00",1,1,3,"Ship no later than Tuesday, August 2nd. 3-hole punch book in addition to spiral bound. Order #382409",280,20
HBW-S,WTS,"2016-08-01 00:00:00","2016-07-07 00:00:00",20,20,2,"Ship no later than Tuesday, August 2nd. 3-hole punch book in addition to spiral bound. Order #382416",248,18
MHW-T,Stock,"2016-07-11 00:00:00","2016-07-07 00:00:00",100,100,12,,285,20
RRR-TB,WTS,"2016-07-13 00:00:00","2016-07-08 00:00:00",50,50,2,,196,28
FN1-T,WTS,"2016-07-11 00:00:00","2016-07-08 00:00:00",150,150,3,,254,20
"TLC ",Stock,"2016-07-13 00:00:00","2016-07-08 00:00:00",70,70,26,,121,22
WSP-BL,WTS,"2016-07-11 00:00:00","2016-07-08 00:00:00",50,50,4,,301,20
PLS-P,WTS,"2016-07-13 00:00:00","2016-07-12 00:00:00",30,30,3,,167,35
LTW-SW1,WTS,"2016-07-13 00:00:00","2016-07-12 00:00:00",75,75,5,,154,35
LTW-TG1,WTS,"2016-07-13 00:00:00","2016-07-12 00:00:00",75,75,5,,362,15
"LTW-SW2 (old)",WTS,"2016-07-13 00:00:00","2016-07-12 00:00:00",50,50,5,,136,50
FBS-A-BL,WTS,"2016-07-13 00:00:00","2016-07-12 00:00:00",10,10,3,"3 Hole Punched. Single Sided.",59,10
FBS-C-BL,"Low Stock","2016-07-13 00:00:00","2016-07-12 00:00:00",10,10,3,"3 Hole Punched. Single Sided.",54,10
SME-L1-CS,"WTS - ASAP","2016-07-13 00:00:00","2016-07-12 00:00:00",56,56,4,,14,50
SME-L1,WTS,"2016-07-14 00:00:00","2016-07-12 00:00:00",50,50,1,,40,50
"SW2 Tabs","WTS - ASAP","2016-07-14 00:00:00","2016-07-13 00:00:00",300,300,6,,12,104
CS-A,"WTS - ASAP","2016-07-14 00:00:00","2016-07-13 00:00:00",70,70,1,"Workshops and stock.",345,15
SRH-BL,WTS,"2016-07-14 00:00:00","2016-07-13 00:00:00",150,150,8,"Workshops and stock.",63,40
CS-B,WTS,"2016-07-15 00:00:00","2016-07-13 00:00:00",50,50,1,"Workshops and stock.",338,10
CS-C,"Low Stock","2016-07-15 00:00:00","2016-07-13 00:00:00",20,20,10,,376,15
CS-PK,"Low Stock","2016-07-15 00:00:00","2016-07-13 00:00:00",20,20,11,,311,15
SWP-B-BL,"Low Stock","2016-07-15 00:00:00","2016-07-13 00:00:00",50,50,12,,186,30
SWP-A-BL,"Low Stock","2016-07-15 00:00:00","2016-07-13 00:00:00",50,50,13,,194,30
SWP-C-BL,"Low Stock","2016-07-15 00:00:00","2016-07-13 00:00:00",30,30,14,,238,20
SWP-P1-BL,"Low Stock","2016-07-15 00:00:00","2016-07-13 00:00:00",30,30,15,,222,12
SWP-P2-BL,"Low Stock","2016-07-15 00:00:00","2016-07-13 00:00:00",30,30,12,,299,10
TCW,WTS,"2016-07-19 00:00:00","2016-07-18 00:00:00",100,100,4,"45 of these are for Rainbow.",101,60
TCW,"Low Stock","2016-07-22 00:00:00","2016-07-18 00:00:00",300,300,18,,101,60
FN1-T,WTS,"2016-07-20 00:00:00","2016-07-18 00:00:00",100,100,1,,254,20
LDP-T,"Low Stock","2016-07-22 00:00:00","2016-07-18 00:00:00",101,100,17,,206,25
LTW-SW1,WTS,"2016-07-20 00:00:00","2016-07-18 00:00:00",500,500,7,,154,35
MHW-T,"WTS - ASAP","2016-07-18 00:00:00","2016-07-18 00:00:00",200,200,4,,285,20
AUH-S,WTS,"2016-07-19 00:00:00","2016-07-18 00:00:00",100,100,5,,348,15
LTW-TG1,WTS,"2016-07-20 00:00:00","2016-07-18 00:00:00",105,100,7,,362,15
"LTW-SW2 (old)",WTS,"2016-07-20 00:00:00","2016-07-18 00:00:00",50,50,7,,136,50
"LTW-TG2 (old)",WTS,"2016-07-20 00:00:00","2016-07-18 00:00:00",25,25,7,,219,25
"SRH-B Tabs",WTS,"2016-07-20 00:00:00","2016-07-18 00:00:00",175,175,5,,10,120
AFF-TB,WTS,"2016-07-20 00:00:00","2016-07-18 00:00:00",100,100,5,,82,30
SBC-B,"Low Stock","2016-07-20 00:00:00","2016-07-18 00:00:00",100,100,10,,61,50
FN2-S,"WTS - ASAP","2016-07-20 00:00:00","2016-07-18 00:00:00",200,200,6,,262,23
FN2-T,"WTS - ASAP","2016-07-20 00:00:00","2016-07-18 00:00:00",100,100,6,,262,23
LDP-SB,"WTS - ASAP","2016-07-19 00:00:00","2016-07-19 00:00:00",50,50,1,,176,34
FIX-6-SB,"WTS - ASAP","2016-07-19 00:00:00","2016-07-19 00:00:00",105,100,2,,132,35
EIS-LCO,WTS,"2016-07-20 00:00:00","2016-07-19 00:00:00",55,55,5,"55 cut in half = 110 sets",96,20
LTW-SW1,WTS,"2016-07-25 00:00:00","2016-07-21 00:00:00",600,600,8,"Order #388057",154,35
LTW-TG1,WTS,"2016-07-25 00:00:00","2016-07-21 00:00:00",150,150,8,"Order #388057",362,15
"LTW-SW2 (old)",WTS,"2016-07-25 00:00:00","2016-07-21 00:00:00",100,100,8,"Order #388057",136,50
"LTW-TG2 (old)",WTS,"2016-07-25 00:00:00","2016-07-21 00:00:00",25,25,8,"Order #388057",219,25
FN2-S,"Low Stock","2016-07-25 00:00:00","2016-07-21 00:00:00",100,100,6,,262,23
FN2-T,"Low Stock","2016-07-25 00:00:00","2016-07-21 00:00:00",100,100,6,,262,23
IC-R-TWSS2-PC,WTS,"2016-07-22 00:00:00","2016-07-22 00:00:00",400,400,2,,1,100
FMF-TB,"Low Stock","2016-07-25 00:00:00","2016-07-22 00:00:00",100,100,16,,273,20
FN2-S,"Low Stock","2016-07-26 00:00:00","2016-07-25 00:00:00",100,100,17,,262,23
PW-SEP-IL,"Low Stock","2016-07-25 00:00:00","2016-07-25 00:00:00",500,500,5,,1,500
SICC-B-SB,Stock,"2016-07-29 00:00:00","2016-07-25 00:00:00",200,200,65,,186,30
SICC-C-SB,Stock,"2016-07-29 00:00:00","2016-07-25 00:00:00",100,100,67,,188,30
SIMP-C,Stock,"2016-07-29 00:00:00","2016-07-25 00:00:00",305,300,62,,105,45
WVD-B,Stock,"2016-07-29 00:00:00","2016-07-25 00:00:00",50,50,19,,73,80
AUH-T,"Low Stock","2016-07-26 00:00:00","2016-07-25 00:00:00",50,50,18,,317,18
BBW,Stock,"2016-07-29 00:00:00","2016-07-25 00:00:00",100,100,28,,132,40
HWS,Stock,"2016-07-29 00:00:00","2016-07-25 00:00:00",100,100,29,,94,50
HWS,Stock,"2016-07-29 00:00:00","2016-07-25 00:00:00",100,100,29,,94,50
SWP-A-BL,Stock,"2016-07-26 00:00:00","2016-07-26 00:00:00",30,30,5,"Printed 30 extra from a previous job.",194,30
ACS-B,"Low Stock","2016-07-26 00:00:00","2016-07-26 00:00:00",60,60,2,,164,30
CS-P1,WTS,"2016-07-27 00:00:00","2016-07-26 00:00:00",25,25,5,,329,18
CS-A,WTS,"2016-07-27 00:00:00","2016-07-26 00:00:00",30,30,7,,345,15
CS-P2,WTS,"2016-07-27 00:00:00","2016-07-26 00:00:00",30,30,9,,327,18
CS-B,"Low Stock","2016-07-27 00:00:00","2016-07-26 00:00:00",30,30,11,,338,10
SW2-RC,"Low Stock","2016-07-27 00:00:00","2016-07-26 00:00:00",10,10,12,"1 in stock.",240,10
MFI-A-TB,"Low Stock","2016-07-28 00:00:00","2016-07-26 00:00:00",30,30,13,,254,20
MFI-B-TB,"Low Stock","2016-07-28 00:00:00","2016-07-26 00:00:00",30,30,15,,304,20
MHW-T,Stock,"2016-07-27 00:00:00","2016-07-26 00:00:00",100,100,17,,285,20
PAL-RSB1,Stock,"2016-07-29 00:00:00","2016-07-27 00:00:00",75,75,68,,103,30
PAL-RSB2,WTS,"2016-07-29 00:00:00","2016-07-27 00:00:00",75,75,1,,108,30
"PAL-RS Readers (pack",Stock,"2016-07-29 00:00:00","2016-07-27 00:00:00",75,75,68,,60,100
WSP-BL,Stock,"2016-07-29 00:00:00","2016-07-27 00:00:00",50,50,69,,301,20
PAL-WSB,Stock,"2016-07-29 00:00:00","2016-07-27 00:00:00",100,100,70,,274,20
RBW,Stock,"2016-07-29 00:00:00","2016-07-27 00:00:00",100,100,71,,133,40
FIX-5-SB,Stock,"2016-07-29 00:00:00","2016-07-27 00:00:00",100,100,72,,132,35
BH-TB,Stock,"2016-07-29 00:00:00","2016-07-27 00:00:00",50,50,73,,124,50
FIX-6,Stock,"2016-07-29 00:00:00","2016-07-27 00:00:00",100,100,74,,268,22
WRP-T,Stock,"2016-07-29 00:00:00","2016-07-27 00:00:00",50,50,75,,192,30
FN1-T,Stock,"2016-07-29 00:00:00","2016-07-27 00:00:00",100,100,76,,254,20
WTW-T,Stock,"2016-07-29 00:00:00","2016-07-27 00:00:00",100,100,77,,139,30
"AHW-T (old)",Stock,"2016-07-29 00:00:00","2016-07-27 00:00:00",100,100,78,,273,20
PAL-WT,Stock,"2016-07-29 00:00:00","2016-07-27 00:00:00",100,100,79,,206,25
WRP-S,Stock,"2016-07-29 00:00:00","2016-07-27 00:00:00",50,50,80,,242,25
SWP-C-BL,Stock,"2016-07-29 00:00:00","2016-07-27 00:00:00",50,50,81,,238,20
SWP-PK-BL,Stock,"2016-07-29 00:00:00","2016-07-27 00:00:00",40,30,82,,216,25
SRH-BL,Stock,"2016-07-29 00:00:00","2016-07-27 00:00:00",200,200,83,,63,40
SWP-A-BL,Stock,"2016-07-29 00:00:00","2016-07-27 00:00:00",100,100,84,,194,30
SWP-B-BL,Stock,"2016-07-29 00:00:00","2016-07-27 00:00:00",50,50,85,,186,30
"SIM Tabs","Low Stock","2016-08-02 00:00:00","2016-07-27 00:00:00",3000,3000,10,"August Sales",5,250
"SIM Tabs",Stock,"2016-08-23 00:00:00","2016-07-27 00:00:00",1500,1500,11,"September Sales",5,250
SW2,Stock,"2016-09-30 00:00:00","2016-07-27 00:00:00",750,750,777,"Oct. - Dec. Sales? Covers binders received through release #4. ",240,25
"SW2 Tabs",Stock,"2016-09-30 00:00:00","2016-07-27 00:00:00",783,750,777,"Oct. - Dec. Sales? Covers binders received through release #4. ",12,104
LTW-SW1,WTS,"2016-08-01 00:00:00","2016-07-28 00:00:00",275,275,5,"Order #390234",154,35
LTW-TG1,WTS,"2016-08-01 00:00:00","2016-07-28 00:00:00",100,100,5,"Order #390234",362,15
"LTW-SW2 (old)",WTS,"2016-08-01 00:00:00","2016-07-28 00:00:00",125,125,5,"Order #390234",136,50
"LTW-TG2 (old)",WTS,"2016-08-01 00:00:00","2016-07-28 00:00:00",25,25,5,"Order #390234",219,25
MHW-S,WTS,"2016-08-02 00:00:00","2016-07-29 00:00:00",600,600,3,"Order #390742 for CBD. Rainbow also needs 130.",312,17
MHW-T,WTS,"2016-08-01 00:00:00","2016-07-29 00:00:00",200,200,2,"Order #390742 for CBD.",285,20
SME-L2-CS,WTS,"2016-07-29 00:00:00","2016-07-29 00:00:00",30,30,2,,12,30
AUH-S,"Low Stock","2016-08-01 00:00:00","2016-07-29 00:00:00",50,50,6,,348,15
FN2-S,"Low Stock","2016-08-01 00:00:00","2016-07-29 00:00:00",115,100,7,,262,23
FIX-6-SB,"Low Stock","2016-08-02 00:00:00","2016-07-29 00:00:00",50,50,8,,132,35
LDP-T,WTS,"2016-08-01 00:00:00","2016-07-29 00:00:00",50,50,5,,206,25
CS-PK12-Tabs,"Low Stock","2016-08-05 00:00:00","2016-07-29 00:00:00",250,250,12,"1 case",5,100
PAL-WT,Stock,"2016-08-05 00:00:00","2016-08-01 00:00:00",100,100,78,,206,25
MHW-T,Stock,"2016-08-05 00:00:00","2016-08-01 00:00:00",100,100,81,,285,20
LDP-SB,"WTS - ASAP","2016-08-02 00:00:00","2016-08-02 00:00:00",100,100,1,,176,34
AUH-S,"Low Stock","2016-08-03 00:00:00","2016-08-02 00:00:00",100,100,5,,348,15
"AHW-S (old)","Low Stock","2016-08-09 00:00:00","2016-08-02 00:00:00",400,400,9,,300,18
FIX-2-SB,"Low Stock","2016-08-12 00:00:00","2016-08-02 00:00:00",400,400,7,,130,35
FN1-S,"Low Stock","2016-08-05 00:00:00","2016-08-02 00:00:00",308,300,8,,254,22
SRN-B,"Low Stock","2016-08-05 00:00:00","2016-08-02 00:00:00",500,500,9,,126,35
"TLC ","Low Stock","2016-08-03 00:00:00","2016-08-02 00:00:00",50,50,4,,121,22
WRP-S,"Low Stock","2016-08-03 00:00:00","2016-08-02 00:00:00",100,100,5,,242,25
