skuid,descr,datedue,dateordered,qtyprinted,qtyordered,priority,notes,imps,printstack
MP-TMB,WTS,"2015-09-04 00:00:00","2015-09-04 00:00:00",50,50,1,,15,50
MPR-Stoa,WTS,"2015-09-04 00:00:00","2015-09-04 00:00:00",30,30,0,,117,30
MPS,WTS,"2015-09-04 00:00:00","2015-09-04 00:00:00",30,30,0,,153,30
MPR-Curr,WTS,"2015-09-04 00:00:00","2015-09-04 00:00:00",10,10,1,,46,10
MFI-A-TB,"Shipping Tuesday - 9/8","2015-09-04 00:00:00","2015-09-04 00:00:00",30,30,1,,254,20
CS-A,"Shipping Tuesday - 9/8","2015-09-04 00:00:00","2015-09-04 00:00:00",30,30,2,,345,15
FN-S,"-30  CBD 60","2015-09-04 00:00:00","2015-09-04 00:00:00",100,100,14,,231,22
CS-B,NULL,"2015-09-08 00:00:00","2015-09-08 00:00:00",30,30,21,,338,10
HBW-S,NULL,"2015-09-08 00:00:00","2015-09-08 00:00:00",100,100,22,,248,18
"AHW-S (old)",NULL,"2015-09-08 00:00:00","2015-09-08 00:00:00",200,200,23,,300,18
"AHW-T (old)",NULL,"2015-09-08 00:00:00","2015-09-08 00:00:00",100,100,24,"Waiting for covers",273,20
FIX-3,NULL,"2015-09-08 00:00:00","2015-09-08 00:00:00",100,100,25,,262,22
SW2,NULL,"2015-09-08 00:00:00","2015-09-08 00:00:00",220,200,26,,240,25
FIX-1-SB,NULL,"2015-09-08 00:00:00","2015-09-08 00:00:00",100,100,28,,128,40
SRN-B,NULL,"2015-09-08 00:00:00","2015-09-08 00:00:00",100,100,29,,126,35
AFF-S,NULL,"2015-09-08 00:00:00","2015-09-08 00:00:00",100,100,30,,169,30
BH-S,"WTS - ASAP","2015-09-08 00:00:00","2015-09-08 00:00:00",100,100,0,,224,18
MHW-S,NULL,"2015-09-08 00:00:00","2015-09-08 00:00:00",54,50,32,,312,17
JBA,NULL,"2015-09-08 00:00:00","2015-09-08 00:00:00",30,30,33,,149,50
WTW-S,NULL,"2015-09-08 00:00:00","2015-09-08 00:00:00",130,100,34,,198,30
SICC-B-SB,NULL,"2015-09-08 00:00:00","2015-09-08 00:00:00",50,50,35,,186,30
SICC-C-SB,NULL,"2015-09-08 00:00:00","2015-09-08 00:00:00",50,50,36,,188,30
SWP-B-BL,NULL,"2015-09-08 00:00:00","2015-09-08 00:00:00",60,30,37,,186,30
FIX-6-SB,NULL,"2015-09-08 00:00:00","2015-09-08 00:00:00",50,50,38,,132,35
SBC-B,NULL,"2015-09-08 00:00:00","2015-09-08 00:00:00",30,30,39,,61,50
"LTW-SW2 (old)",WTS,"2015-09-08 00:00:00","2015-09-08 00:00:00",100,100,27,,136,50
MPB-Stoa,"-10 WTS","2015-09-09 00:00:00","2015-09-09 00:00:00",60,50,0,,182,30
MPB-Flows-M,"WTS - Let Pete know if short","2015-09-09 00:00:00","2015-09-09 00:00:00",70,70,15,,65,70
MPR-Flows,"Zero on hand","2015-09-09 00:00:00","2015-09-09 00:00:00",50,50,16,,68,50
SWP-P2-BL,"WTS - 2:00 Today","2015-09-09 00:00:00","2015-09-09 00:00:00",30,30,0,,299,10
EIL-1,WTS,"2015-09-09 00:00:00","2015-09-09 00:00:00",50,50,28,,156,25
EIL-2,WTS,"2015-09-09 00:00:00","2015-09-09 00:00:00",50,50,28,,158,35
SIMP-B,-9,"2015-09-09 00:00:00","2015-09-09 00:00:00",100,100,29,,107,45
SIMP-A,NULL,"2015-09-09 00:00:00","2015-09-09 00:00:00",100,100,40,,113,45
SIMP-C,NULL,"2015-09-09 00:00:00","2015-09-09 00:00:00",50,50,41,,105,45
FIX-1-SB,NULL,"2015-09-09 00:00:00","2015-09-09 00:00:00",100,100,42,,128,40
FIX-2-SB,22,"2015-09-09 00:00:00","2015-09-09 00:00:00",100,100,43,,130,35
"AHW-S (old)",NULL,"2015-09-09 00:00:00","2015-09-09 00:00:00",100,100,44,,300,18
CS-P1,3,"2015-09-09 00:00:00","2015-09-09 00:00:00",30,30,45,,329,18
FN-S,NULL,"2015-09-09 00:00:00","2015-09-09 00:00:00",50,50,46,,231,22
FN-T,NULL,"2015-09-09 00:00:00","2015-09-09 00:00:00",30,30,47,,120,50
PAL-WSB,4,"2015-09-09 00:00:00","2015-09-09 00:00:00",50,50,48,,274,20
APE,3,"2015-09-09 00:00:00","2015-09-09 00:00:00",30,30,49,,198,30
SIMY-B,NULL,"2015-09-10 10:00:00","2015-09-10 00:00:00",15,15,0,"Need to ship by 10:00 AM",28,15
SWP-P2-P,NULL,"2015-09-10 10:00:00","2015-09-10 00:00:00",30,30,0,"Need to ship by 10:00 AM",300,10
WVD-B,WTS,"2015-09-11 00:00:00","2015-09-11 00:00:00",50,50,38,,73,80
MPB-NCFCA,"Low Stock","2015-09-11 00:00:00","2015-09-11 00:00:00",50,50,42,,196,30
PAL-RG,NULL,"2015-09-12 00:00:00","2015-09-12 00:00:00",50,50,50,,198,17
FIX-1,NULL,"2015-09-12 00:00:00","2015-09-12 00:00:00",100,100,51,,230,25
SRN-B,NULL,"2015-09-12 00:00:00","2015-09-12 00:00:00",100,100,55,,126,35
FMF-S,NULL,"2015-09-12 00:00:00","2015-09-12 00:00:00",50,50,58,,280,20
TEE-S,NULL,"2015-09-12 00:00:00","2015-09-12 00:00:00",100,100,59,,148,35
AFF-S,NULL,"2015-09-12 00:00:00","2015-09-12 00:00:00",100,100,60,,169,30
"PAL-RS Readers (pack",NULL,"2015-09-12 00:00:00","2015-09-12 00:00:00",30,30,61,,60,100
PAL-RSB1,NULL,"2015-09-12 00:00:00","2015-09-12 00:00:00",30,30,62,,103,30
PAL-RSB2,NULL,"2015-09-12 00:00:00","2015-09-12 00:00:00",30,30,63,,108,30
ABW-B,NULL,"2015-09-12 00:00:00","2015-09-12 00:00:00",30,30,64,,146,40
EIL-3,"25 o/h","2015-09-12 00:00:00","2015-09-12 00:00:00",70,50,65,,168,35
FIX-4,NULL,"2015-09-12 00:00:00","2015-09-12 00:00:00",50,50,54,,264,22
FIX-2,NULL,"2015-09-12 00:00:00","2015-09-12 00:00:00",100,100,52,,258,22
FIX-6,NULL,"2015-09-12 00:00:00","2015-09-12 00:00:00",51,50,53,,268,22
HBW-S,NULL,"2015-09-12 00:00:00","2015-09-12 00:00:00",100,100,56,,248,18
SW2,NULL,"2015-09-12 00:00:00","2015-09-12 00:00:00",100,100,57,,240,25
MPR-Curr,"Low Stock","2015-09-14 00:00:00","2015-09-14 00:00:00",10,10,37,,46,10
MPZ-Curr,"Low Stock","2015-09-14 00:00:00","2015-09-14 00:00:00",10,10,38,,36,10
SIMP-A,"Low Stock","2015-09-15 00:00:00","2015-09-15 00:00:00",100,100,51,,113,45
"AHW-S (old)","Low Stock","2015-09-16 00:00:00","2015-09-16 00:00:00",100,100,51,,300,18
SIMP-B,"Low Stock","2015-09-16 00:00:00","2015-09-16 00:00:00",200,200,66,,107,45
SIMP-C,NULL,"2015-09-16 00:00:00","2015-09-16 00:00:00",100,100,67,,105,45
"TEE-T ","Low Stock","2015-09-16 00:00:00","2015-09-16 00:00:00",100,100,68,,103,50
FIX-6-SB,"Can't find previous 50","2015-09-16 00:00:00","2015-09-16 00:00:00",50,50,0,,132,35
HBW-S,"Stock - Palletize","2015-09-17 00:00:00","2015-09-17 00:00:00",960,960,68,,248,18
FIX-5-SB,WTS,"2015-09-18 00:00:00","2015-09-18 00:00:00",50,50,0,,132,35
IIW-H_v3,"Ship Wed. 9/23/15 - #340925","2015-09-18 00:00:00","2015-09-18 00:00:00",150,150,65,,2,150
RRW-H_v2,"Ship Wed. 9/23 - #340925","2015-09-18 00:00:00","2015-09-18 00:00:00",150,150,1,,3,150
CS-P2,"Low Stock","2015-09-19 00:00:00","2015-09-19 00:00:00",30,30,45,,327,18
WTW-S,NULL,"2015-09-21 00:00:00","2015-09-21 00:00:00",100,100,69,,198,30
HWS,NULL,"2015-09-21 00:00:00","2015-09-21 00:00:00",100,100,70,,94,50
HWS,NULL,"2015-09-21 00:00:00","2015-09-21 00:00:00",100,100,70,,94,50
RBW,NULL,"2015-09-21 00:00:00","2015-09-21 00:00:00",50,50,71,,133,40
LTL-S,NULL,"2015-09-21 00:00:00","2015-09-21 00:00:00",50,50,72,,87,50
LTL-T,NULL,"2015-09-21 00:00:00","2015-09-21 00:00:00",50,50,73,,97,30
BH-S,Palletize,"2015-09-21 00:00:00","2015-09-21 00:00:00",414,400,72,,224,18
MHW-S,"WTS - ASAP","2015-09-22 00:00:00","2015-09-22 00:00:00",50,50,0,,312,17
SRN-B,"WTS - ASAP","2015-09-22 00:00:00","2015-09-22 00:00:00",100,100,0,,126,35
MPB-NCFCA,"WTS - ASAP","2015-09-22 00:00:00","2015-09-22 00:00:00",50,50,1,,196,30
EIS-LCO,"250 sets cut in half = 500","2015-09-22 00:00:00","2015-09-22 00:00:00",260,250,73,,96,20
ACS-B,"WTS - ASAP","2015-09-23 00:00:00","2015-09-23 00:00:00",50,50,1,,164,30
SW2,"Use New File - Save Boxes","2015-09-23 00:00:00","2015-09-23 00:00:00",1280,1280,74,,240,25
FIX-1-SB,NULL,"2015-09-23 00:00:00","2015-09-23 00:00:00",100,100,2,,128,40
"AHW-S (old)",NULL,"2015-09-23 00:00:00","2015-09-23 00:00:00",100,100,3,,300,18
FIX-4-SB,NULL,"2015-09-23 00:00:00","2015-09-23 00:00:00",50,50,4,,128,45
FIX-1,NULL,"2015-09-23 00:00:00","2015-09-23 00:00:00",100,100,5,,230,25
AFF-S,NULL,"2015-09-23 00:00:00","2015-09-23 00:00:00",100,100,6,,169,30
"AHW-T (old)",NULL,"2015-09-23 00:00:00","2015-09-23 00:00:00",100,100,7,,273,20
EIS-LCO,"Low Priority - 1000 cut in half = 2000 sets","2015-09-23 00:00:00","2015-09-23 00:00:00",1000,1000,999,,96,20
SWP-P1-BL,"WTS - Today","2015-09-23 00:00:00","2015-09-23 00:00:00",30,30,0,,222,12
SRH-BL,"WTS - ASAP","2015-09-23 00:00:00","2015-09-23 00:00:00",50,50,0,,63,40
"SIM Tabs","WTS - 216","2015-09-24 00:00:00","2015-09-24 00:00:00",2000,2000,0,,5,250
PMB,"Shipping Today","2015-09-25 00:00:00","2015-09-25 00:00:00",20,20,0,,89,50
SRN-B,"Low Stock","2015-09-25 00:00:00","2015-09-25 00:00:00",50,50,1,,126,35
WRP-S,"14 o/h","2015-09-25 00:00:00","2015-09-25 00:00:00",50,50,2,,242,25
PAL-RT,NULL,"2015-09-25 00:00:00","2015-09-25 00:00:00",51,50,3,,169,20
